Link,ID,Brand Name,Product Name,Calories,Caffeine Blend,Creatine,Beta-Alanine,L-Theanine,L-Citrulline,L-Tyrosine,Taurine,Betaine,Citrulline Malate,Agmatine Sulfate,Nitrosigine,Theobromine,Huperzine A,Other ingredients
https://dsld.od.nih.gov/label/292457,292457,XTEND,The Original Blue Raspberry Ice,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,"Electrolyte Blend, L-Glutamine, L-Isoleucine, L-Leucine, L-Valine, Potassium, Potassium Chloride, Sodium, Sodium Chloride, Sodium Citrate, Sugar, Total Carbohydrates, Vitamin B6"
https://dsld.od.nih.gov/label/292458,292458,XTEND,The Original Italian Blood Orange,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,"Electrolyte Blend, L-Glutamine, L-Isoleucine, L-Leucine, L-Valine, Potassium, Potassium Chloride, Sodium, Sodium Chloride, Sodium Citrate, Sugar, Total Carbohydrates, Vitamin B6"
https://dsld.od.nih.gov/label/292459,292459,XTEND,The Original Smash Apple,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,"Electrolyte Blend, L-Glutamine, L-Isoleucine, L-Leucine, L-Valine, Potassium, Potassium Chloride, Sodium, Sodium Chloride, Sodium Citrate, Sugar, Total Carbohydrates, Vitamin B6"
https://dsld.od.nih.gov/label/292460,292460,XTEND,The Original Tropic Thunder,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,"Electrolyte Blend, L-Glutamine, L-Isoleucine, L-Leucine, L-Valine, Potassium, Potassium Chloride, Sodium, Sodium Chloride, Sodium Citrate, Sugars, Total Carbohydrates, Vitamin B6"
https://dsld.od.nih.gov/label/292461,292461,XTEND,The Original Strawberry Kiwi Splash,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,"Electrolyte Blend, L-Glutamine, L-Isoleucine, L-Leucine, L-Valine, Potassium, Potassium Chloride, Sodium, Sodium Chloride, Sodium Citrate, Sugar, Total Carbohydrates, Vitamin B6"
https://dsld.od.nih.gov/label/292462,292462,XTEND,The Original Watermelon Explosion,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,"Electrolyte Blend, L-Glutamine, L-Isoleucine, L-Leucine, L-Valine, Potassium, Potassium Chloride, Sodium, Sodium Chloride, Sodium Citrate, Sugar, Total Carbohydrates, Vitamin B6"
https://dsld.od.nih.gov/label/292517,292517,GHOST,Whey Protein Fruity Cereal Milk,120,0,0,0,0,0,0,0,0,0,0,0,0,0,"Added Sugars, Calcium, Cholesterol, Dietary Fiber, Iron, Potassium, Protein, Saturated Fat, Sodium, Total Carbohydrates, Total Fat, Total Sugars, Trans Fat, Vitamin D"
https://dsld.od.nih.gov/label/292520,292520,GHOST,Legend Bubblicious Strawberry Splash,5,250,0,3200,0,4000,1000,1000,0,0,0,1500,100,0,"Added Sugars, Alpha-GPC, AstraGin, Calcium, Rauwolfia (Rauwolfia vomitoria) root extract, Senactiv, Total Carbohydrates, Total Sugars"
https://dsld.od.nih.gov/label/292538,292538,Vade Nutrition,Dissolvable Protein Scoops Combo Pack 100% Whey Isolate Chocolate,90,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cholesterol, Potassium, Protein, Sodium, Total Carbohydrate, Total Fat, Total Sugars, added Sugars"
https://dsld.od.nih.gov/label/292627,292627,MuscleTech,MASS TECH Elite Vanilla Cake,1000,0,-1,0,0,0,0,0,0,0,0,0,0,0,"Added Sugars, Calcium, Cholesterol, Digestion & Absorption Support, Iron, L-Glutamine, L-Isoleucine, L-Leucine, L-Valine, Muscle & Strength Amplifying Complex, Potassium, ProHydrolase, Protein, Saturated Fat, Sodium, Total Carbohydrates, Total Fat, Total Sugars"
https://dsld.od.nih.gov/label/292630,292630,MuscleTech,Shatter Ripped Pre-Workout Rainbow Candy,0,170,0,-1,0,-1,0,500,0,0,0,0,0,0.01,"CitraPeak, Energy, Focus & Thermogenesis Enhancer, Grains of Paradise Seed Extract, Green Coffee Seed Extract, NooGandha, Performance Matrix, Total Carbohydrates, Yohimbe Bark Extract, Zynamite"
https://dsld.od.nih.gov/label/292631,292631,MuscleTech,Shatter Ripped Pre-Workout Icy Rocket,0,170,0,-1,0,-1,0,500,0,0,0,0,0,0.01,"CitraPeak, Energy, Focus & Thermogenesis Enhancer, Grains of Paradise seed extract, Green Coffee Seed Extract, NooGandha, Performance Matrix, Total Carbohydrates, Yohimbe Bark Extract, Zynamite"
https://dsld.od.nih.gov/label/292652,292652,Purus Labs,NOXygen Blue Raspberry,10,200,0,3200,0,0,500,0,0,0,0,0,0,10,"Choline, Hydromax EZ Flow, NO3-T, Sodium, Total Carbohydrates, VitaCholine"
https://dsld.od.nih.gov/label/292653,292653,Purus Labs,NOXygen Gummy Bear,10,200,0,3200,0,1000,500,0,1000,0,0,0,0,0,"Choline, Huperzia serrata extract, Hydromax EZ Flow, Sodium, Total Carbohydrates, VitaCholine, ZumXR"
https://dsld.od.nih.gov/label/292654,292654,Purus Labs,NOXygen Strawberry Candy,0,67,0,3200,0,0,500,0,0,0,0,0,0,10,"Choline, Hydromax EZ Flow, NO3-T, Sodium, Total Carbohydrates, VitaCholine"
https://dsld.od.nih.gov/label/293246,293246,Klean Athlete,Klean BCAA + Peak ATP Orange Flavor,35,0,0,0,0,0,0,0,0,0,0,0,0,0,"L-Isoleucine, L-Leucine, L-Valine, Peak ATP, Sugar Alcohol, Total Carbohydrate"
https://dsld.od.nih.gov/label/293339,293339,Nutrex Research,EAA + Hydration Maui Twist,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,"AstraGin, Calci-K, Calcium, Coconut Water Concentrate, Raw, Essential Amino Acid Complex, Hydration Complex, L-Histidine Hydrochloride, L-Isoleucine, L-Leucine, L-Lysine Hydrochloride, L-Methionine, L-Phenylalanine, L-Threonine, L-Tryptophan, L-Valine, Magnesium, Phosphorus, Potassium, Sodium"
