Link,ID,Brand Name,Product Name,Calories,Caffeine Blend,Creatine,Beta-Alanine,L-Theanine,L-Citrulline,L-Tyrosine,Taurine,Betaine,Citrulline Malate,Agmatine Sulfate,Nitrosigine,Theobromine,Huperzine A
https://dsld.od.nih.gov/label/278364,278364,Origin Performance,Pre-Workout Complex Tropical Punch,0,300,0,3500,300,0,0,0,0,8200,750,0,0,0
https://dsld.od.nih.gov/label/295921,295921,Alpha Lion,SuperHuman Supreme Cherry Popper Sweet Black Cherry,0,300,0,3500,150,0,0,1000,2500,7000,0,0,0,0
https://dsld.od.nih.gov/label/299226,299226,Ryse,Loaded Pre Freedom Rocks,0,120,0,3500,50,4500,0,0,0,0,0,0,100,0
https://dsld.od.nih.gov/label/299819,299819,Huge Nutrition,Wrecked Pre-Workout Raspberry Mojito,0,250,0,3500,0,8000,1500,0,3000,0,1500,0,150,0
https://dsld.od.nih.gov/label/316435,316435,Ryse,Loaded Pre Freedom Rocks,0,120,0,3500,50,4500,0,0,0,0,0,0,100,0
https://dsld.od.nih.gov/label/329534,329534,Body Attack,Attack 3.1 Cassis Flavour,0,200,0,3500,0,0,1500,2500,0,0,0,0,100,0
https://dsld.od.nih.gov/label/334177,334177,Body Attack,Attack 3.1 Green Apple Flavour,0,200,0,3500,0,0,1500,2500,0,0,0,0,100,0
https://dsld.od.nih.gov/label/209300,209300,Twisted Labs,Agent Zero X Angry Bull Flavor,0,400,0,3300,0,4000,1000,0,3000,0,1000,0,200,10
https://dsld.od.nih.gov/label/236857,236857,Swole Labs,Stimulation X Caribbean Punch,0,450,0,3300,0,5000,1000,0,3000,0,1000,0,0,0
https://dsld.od.nih.gov/label/18813,18813,VPX,Friction Exotic Fruit,25,400,5000,3250,0,0,0,0,0,0,0,0,0,0
https://dsld.od.nih.gov/label/18830,18830,VPX,Friction Watermelon,25,400,5000,3250,0,0,0,0,0,0,0,0,0,0
https://dsld.od.nih.gov/label/200672,200672,'Merica Labz,Red White & Boom Freedom,0,400,5000,3200,0,0,3000,0,0,8000,0,0,0,0
